Movie,Predicted False Positive1,Predicted True Positive1,Accuracy1
0,5,8,0.615
1,4,14,0.778
2,10,4,0.285
3,9,11,0.55
4,8,7,0.466
5,12,10,0.454
6,10,6,0.375
7,13,7,0.35
8,9,7,0.438
9,9,7,0.438
